name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Angola,2015,27884.38086,63.44599533,54.31692835,11.36861866,17.37235635,16.94209664,26.7143694,9.931069288,21.72530762,41.62925369,70.21996512,12.19685349,14.86443147,2.718749921,Sub-Saharan Africa,27820.93486467,99.77,0.23,26.81,12738.44,20388.75,18.89,Medium,Low,Medium,43.51,True,,
Angola,2020,32866.26953,66.82499695,57.16773762,9.287349919,19.45082534,14.09408712,27.80822661,8.740488389,22.93315258,40.51813242,71.74314862,9.558837489,17.72203473,0.9759791629,Sub-Saharan Africa,32799.444533049995,99.8,0.2,27.9,14077.37,23678.5,18.88,Medium,Low,Medium,43.93,True,54.31692835,2.85
Benin,2015,10575.96191,45.69500351,64.7868223,8.715470654,21.29846434,5.199242713,56.78435247,11.70337067,23.77497857,7.737298286,74.29714256,5.164581154,18.35531753,2.182958756,Sub-Saharan Africa,10530.26690649,99.57,0.43,56.86,3724.13,4550.72,11.74,Medium,Medium,Medium,17.51,True,,
Benin,2020,12123.19824,48.4149971,65.41412299,9.317535586,21.97254088,3.295800547,58.05226799,12.70520504,23.97796833,5.264558634,73.25800004,5.708056353,19.83580681,1.198136794,Sub-Saharan Africa,12074.7832429,99.6,0.4,58.11,4192.91,5065.1,12.95,Medium,Medium,Medium,15.21,True,64.7868223,0.63
Botswana,2015,2120.716064,67.15499878,88.44628953,8.41061416,1.578349601,1.564746708,71.89253383,21.78932755,1.854197906,4.463940709,96.54260258,1.867186166,1.443438497,0.1467727616,Sub-Saharan Africa,2053.5610652200003,96.83,3.17,72.67,245.02,577.2,2.32,Medium-High,Medium,High,24.65,True,,
Botswana,2020,2351.625,70.8769989,92.21356307,4.72303897,1.732526476,1.330871481,79.04372386,15.15494718,1.596119156,4.20520981,97.62498058,0.4366200322,1.788579159,0.1498202281,Sub-Saharan Africa,2280.7480011,96.99,3.01,79.6,183.11,477.96,1.68,High,Medium-High,High,18.58,True,88.44628953,3.77
Burkina Faso,2015,18110.61523,27.53000069,50.13713109,25.67354095,22.43017891,1.759149043,38.8551637,30.20218489,28.6486943,2.293957106,79.83579216,13.75233459,6.060553432,0.3513198178,Sub-Saharan Africa,18083.08522931,99.85,0.15,38.92,9030.47,11056.87,5.55,Medium,Low,Medium-High,40.98,True,,
Burkina Faso,2020,20903.27734,30.60700035,47.21485446,31.2730034,21.15863263,0.3535095024,32.7182589,38.62690254,28.3404457,0.3143928626,80.08191854,14.60004919,4.875836487,0.4421957805,Sub-Saharan Africa,20872.67033965,99.85,0.15,32.79,11033.83,14043.5,6.1,Low,Low,Medium-High,47.36,True,50.13713109,-2.92
Burundi,2015,10160.03418,12.07800007,59.58146925,19.53889184,14.86499258,6.01464634,55.55826691,21.16679557,16.59414457,6.680792951,88.86843759,7.688539534,2.277601866,1.165421012,Sub-Saharan Africa,10147.95617993,99.88,0.12,55.6,4106.54,4509.93,1.34,Medium,Medium,Medium-High,33.31,True,,
Burundi,2020,11890.78125,13.70800018,62.20712225,19.43969314,14.75825969,3.594924913,57.68576527,21.25148213,16.89675238,4.166000219,90.66911086,8.034462869,1.296426269,0.0,Sub-Saharan Africa,11877.07324982,99.88,0.12,57.72,4493.87,5025.69,1.28,Medium,Medium,High,32.98,True,59.58146925,2.63
