name,region,wat_bas_n,wat_bas_r,wat_bas_u,rural_urban_gap,pop_without_basic_water
Andorra,Europe & Central Asia,100.0000037,100.0,100.0,0.0,-0.0
Finland,Europe & Central Asia,100.0000033,100.0,100.0,0.0,-0.0
Switzerland,Europe & Central Asia,100.0000028,100.0,100.0,0.0,-0.0
Germany,Europe & Central Asia,100.0000023,100.0,100.0,0.0,-0.0
Greece,Europe & Central Asia,100.0000023,100.0,100.0,0.0,-0.0
Greenland,North America,100.0000017,100.0,100.0,0.0,-0.0
New Zealand,East Asia & Pacific,100.0000013,100.0,100.0,0.0,-0.0
Denmark,Europe & Central Asia,100.0000011,100.0,100.0,0.0,-0.0
Malta,Europe & Central Asia,100.0000004,100.0,100.0,0.0,-0.0
Israel,Europe & Central Asia,100.0,100.0,100.0,0.0,0.0
San Marino,Europe & Central Asia,100.0,,,,0.0
Singapore,East Asia & Pacific,100.0,,100.0,,0.0
Tuvalu,East Asia & Pacific,100.0,100.0,100.0,0.0,0.0
French Polynesia,East Asia & Pacific,100.0,,,,0.0
Kuwait,Middle East & North Africa,100.0,,,,0.0
Turkmenistan,Europe & Central Asia,100.0,100.0,100.0,0.0,0.0
Puerto Rico,Latin America & Caribbean,100.0,,,,0.0
Saint Barthelemy,Latin America & Caribbean,100.0,,100.0,,0.0
Réunion,Sub-Saharan Africa,100.0,,,,0.0
Romania,Europe & Central Asia,100.0,100.0,100.0,0.0,0.0
Saudi Arabia,Europe & Central Asia,100.0,,,,0.0
Faeroe Islands,Europe & Central Asia,100.0,,,,0.0
Liechtenstein,Europe & Central Asia,100.0,,,,0.0
Monaco,Europe & Central Asia,100.0,,100.0,,0.0
Northern Mariana Islands,East Asia & Pacific,100.0,,,,0.0
"China, Macao SAR",East Asia & Pacific,100.0,,100.0,,0.0
"China, Hong Kong SAR",East Asia & Pacific,100.0,,100.0,,0.0
Nauru,East Asia & Pacific,100.0,,100.0,,0.0
Gibraltar,Europe & Central Asia,100.0,,100.0,,0.0
Austria,Europe & Central Asia,100.0,100.0,100.0,0.0,0.0
Bahrain,Europe & Central Asia,100.0,,,,0.0
Thailand,East Asia & Pacific,100.0,100.0,100.0,0.0,0.0
Netherlands,Europe & Central Asia,99.99999929,100.0,100.0,0.0,0.0
Chile,Latin America & Caribbean,99.99999872,100.0,100.0,0.0,0.0
United Kingdom,Europe & Central Asia,99.99999856,100.0,100.0,0.0,0.0
France,Europe & Central Asia,99.9999985,100.0,100.0,0.0,0.0
Hungary,Europe & Central Asia,99.99999747,100.0,100.0,0.0,0.0
Iceland,Europe & Central Asia,99.99999721,100.0,100.0,0.0,0.0
Belgium,Europe & Central Asia,99.99999645,100.0,100.0,0.0,0.0
Norway,Europe & Central Asia,99.9999955,100.0,100.0,0.0,0.0
Saint Martin (French part),Latin America & Caribbean,99.99927139,,99.99927139,,0.0
Cook Islands,East Asia & Pacific,99.97161022,,,,0.0
Armenia,Europe & Central Asia,99.97118069,100.0,99.95448122,-0.05,0.85
Australia,East Asia & Pacific,99.96981182,100.0,99.965,-0.03,7.7
Poland,Europe & Central Asia,99.96659155,100.0,99.94435484,-0.06,12.64
United Arab Emirates,Europe & Central Asia,99.965596,,,,3.4
Republic of Korea,East Asia & Pacific,99.93139665,,,,35.17
Spain,Europe & Central Asia,99.92561261,100.0,99.90794521,-0.09,34.78
Italy,Europe & Central Asia,99.91703407,,,,50.16
Portugal,Europe & Central Asia,99.91199367,99.73877609,100.0,0.26,8.97
Bermuda,North America,99.90314002,,99.90314002,,0.06
Brunei Darussalam,East Asia & Pacific,99.9000368,,99.65,,0.44
Libya,Sub-Saharan Africa,99.8915238,,,,7.45
United States of America,North America,99.88352668,99.67078734,99.92814447,0.26,385.53
Czech Republic,Europe & Central Asia,99.88059167,99.8175993,99.90265093,0.09,12.79
Luxembourg,Europe & Central Asia,99.87993254,98.5952381,100.0,1.4,0.75
Mauritius,Sub-Saharan Africa,99.8662547,99.82768234,99.92231522,0.09,1.7
British Virgin Islands,Latin America & Caribbean,99.86438356,,,,0.04
Martinique,Latin America & Caribbean,99.84197078,,,,0.59
Sweden,Europe & Central Asia,99.82686763,99.71937474,99.84155768,0.12,17.49
Costa Rica,Latin America & Caribbean,99.81053693,99.64625,99.84965286,0.2,9.65
Guadeloupe,Latin America & Caribbean,99.80312604,,,,0.79
Slovakia,Europe & Central Asia,99.78769858,100.0,99.60509406,-0.39,11.59
American Samoa,East Asia & Pacific,99.77377166,,,,0.12
Cyprus,Europe & Central Asia,99.76517318,99.84576172,99.72515812,-0.12,2.84
Tokelau,East Asia & Pacific,99.70767665,99.70767665,,,0.0
Guam,East Asia & Pacific,99.6952,,,,0.51
Mexico,Latin America & Caribbean,99.67956828,98.33706893,100.0,1.66,413.14
Palau,East Asia & Pacific,99.6575455,99.75698503,99.63420199,-0.12,0.06
Paraguay,Latin America & Caribbean,99.59346633,99.11122753,99.88674854,0.78,29.0
Estonia,Europe & Central Asia,99.59078178,,99.98545421,,5.43
Qatar,Europe & Central Asia,99.56810194,,,,12.44
Maldives,South Asia,99.5444386,99.9190125,98.99798893,-0.92,2.46
Slovenia,Europe & Central Asia,99.5,,,,10.39
