name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Central African Republic,2020,4829.76416,42.19799805,37.20240205,25.68237348,33.53911377,3.576110708,28.10659415,19.4058899,46.37307301,6.114442944,49.66166495,34.27978009,15.95940214,0.09915281712,Sub-Saharan Africa,4787.56616195,99.13,0.87,28.29,3032.98,3441.94,21.24,Low,Low,Low,21.56,True,42.31134542,-5.11
South Sudan,2020,11193.72852,20.1989994,40.95092717,37.42696287,13.53755519,8.084554762,33.59362881,42.16438068,14.11109616,10.13089435,70.01770445,18.71066092,11.27163464,0.0,Sub-Saharan Africa,11173.5295206,99.82,0.18,33.66,6609.79,7419.94,6.06,Low,Low,Medium,36.42,True,41.24750946,-0.3
Papua New Guinea,2020,8947.027344,13.34500027,45.34401752,2.128564452,22.15762495,30.36979308,39.07134367,2.429850293,24.43180086,34.06700517,86.07527164,0.1721822608,7.390385564,6.362160532,East Asia & Pacific,8933.68234373,99.85,0.15,39.14,4890.09,5443.17,1.86,Low,Low,Medium-High,47.0,True,41.48550844,3.86
Democratic Republic of the Congo,2020,89561.40625,45.63800049,45.95212696,13.44122447,32.54231607,8.064332495,21.98279234,12.68294146,51.21598167,14.11828453,74.50335478,14.34445818,10.29905862,0.8531284131,Sub-Saharan Africa,89515.76824951,99.95,0.05,22.01,48406.04,69837.7,11.64,Low,Low,Medium,52.52,True,42.71817997,3.23
Chad,2020,16425.85938,23.52000046,46.18753479,14.74028929,31.56245714,7.509718784,37.57521525,14.35396111,38.52496761,9.545856027,74.19222309,15.99651381,8.922452721,0.8888103843,Sub-Saharan Africa,16402.33937954,99.86,0.14,37.63,8839.16,10239.13,6.07,Low,Low,Medium,36.62,True,44.39909697,1.79
Niger,2020,24206.63672,16.62599945,46.91179747,21.6538987,27.02751244,4.406791392,39.15415932,23.98774039,31.99150648,4.866593813,85.81383976,9.950440829,2.13468778,2.101031634,Sub-Saharan Africa,24190.01072055,99.93,0.07,39.19,12850.87,14718.62,2.36,Low,Low,Medium-High,46.66,True,45.48245806,1.43
Burkina Faso,2020,20903.27734,30.60700035,47.21485446,31.2730034,21.15863263,0.3535095024,32.7182589,38.62690254,28.3404457,0.3143928626,80.08191854,14.60004919,4.875836487,0.4421957805,Sub-Saharan Africa,20872.67033965,99.85,0.15,32.79,11033.83,14043.5,6.1,Low,Low,Medium-High,47.36,True,50.13713109,-2.92
Ethiopia,2020,114963.5859,21.69499969,49.61557274,26.74071964,18.63506013,5.008647486,40.03013919,30.18668334,23.49561327,6.287564203,84.21282816,14.30300858,1.091582355,0.392580896,Sub-Saharan Africa,114941.89090031,99.98,0.02,40.04,57923.74,68930.49,3.43,Low,Low,Medium-High,44.18,True,42.0700672,7.55
Madagascar,2020,27691.01953,38.5340004,53.38588491,2.71797298,32.31145967,11.58468244,36.40642028,1.601776163,43.95389345,18.03791011,80.47000694,4.498430298,13.74049434,1.291068417,Sub-Saharan Africa,27652.4855296,99.86,0.14,36.47,12907.92,17585.21,7.53,Medium,Low,Medium-High,44.06,True,48.89177354,4.49
Uganda,2020,45741.0,24.95400047,55.85504921,27.28286,12.16590654,4.696184252,48.23118958,31.78469426,14.07616061,5.907955546,78.7828518,13.74416783,6.421044133,1.051936238,Sub-Saharan Africa,45716.04599953,99.95,0.05,48.25,20192.34,23666.65,5.29,Medium,Low,Medium-High,30.55,True,47.84155836,8.01
