name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Afghanistan,2020,38928.33984,26.02599907,75.09141325,1.447541688,14.56026288,8.900782174,66.32791521,1.956824851,19.68294895,12.03231098,100.0,0.0,0.0,0.0,South Asia,38902.31384093,99.93,0.07,66.35,9696.5,13099.22,0.0,Medium-High,Medium,Universal,33.67,True,61.33978081,13.75
Albania,2020,2877.800049,62.11199951,95.06803883,1.884656092,3.047305081,0.0,94.09135806,2.305264955,3.603376986,0.0,95.66380912,1.62808683,2.708104054,0.0,Europe & Central Asia,2815.68804949,97.84,2.16,94.13,141.93,166.37,2.69,High,High,High,1.57,False,93.39432534,1.67
Algeria,2020,43851.04297,73.73300171,94.43732996,4.985880842,0.5318366638,0.04495253272,90.03753791,8.79672214,0.9946030281,0.1711369258,96.00473586,3.628288591,0.3669755478,0.0,Middle East & North Africa,43777.30996829,99.83,0.17,90.05,2439.29,4361.3,2.95,High,High,High,5.97,False,93.40956153,1.03
American Samoa,2020,55.1969986,87.15299988,99.77377166,0.0,0.2262283415,0.0,,,,,,,,,East Asia & Pacific,-31.956001279999995,-57.89,157.89,,0.12,,,Universal,Unknown,Unknown,,False,99.61910315,0.15
Andorra,2020,77.26499939,87.91600037,100.0000037,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,-10.651000980000006,-13.79,113.79,100.0,-0.0,-0.0,0.0,Universal,Universal,Universal,0.0,False,99.99999755,0.0
Angola,2020,32866.26953,66.82499695,57.16773762,9.287349919,19.45082534,14.09408712,27.80822661,8.740488389,22.93315258,40.51813242,71.74314862,9.558837489,17.72203473,0.9759791629,Sub-Saharan Africa,32799.444533049995,99.8,0.2,27.9,14077.37,23678.5,18.88,Medium,Low,Medium,43.93,True,54.31692835,2.85
Argentina,2020,45195.77734,92.11100006,,,,,,,,,99.79042065,0.0,0.2095793501,0.0,Latin America & Caribbean,45103.66633994,99.8,0.2,,,,0.19,Unknown,Unknown,Universal,,False,98.96658815,
Armenia,2020,2963.233887,63.31299973,99.97118069,0.0,0.02881930801,0.0,100.0,0.0,0.0,0.0,99.95448122,0.0,0.04551878364,0.0,Europe & Central Asia,2899.92088727,97.86,2.14,100.0,0.85,0.0,0.03,Universal,Universal,Universal,-0.05,False,99.5525667,0.42
Australia,2020,25499.88086,86.24099731,99.96981182,0.0,0.03018817873,0.0,100.0,0.0,0.0,0.0,99.965,0.0,0.035,0.0,East Asia & Pacific,25413.63986269,99.66,0.34,100.0,7.7,0.0,0.03,Universal,Universal,Universal,-0.03,False,99.97000567,-0.0
Austria,2020,9006.400391,58.7480011,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,8947.652389899999,99.35,0.65,100.0,0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,100.0,0.0
Azerbaijan,2020,10139.1748,56.39700317,96.04337613,1.04278118,2.913842688,0.0,90.92579795,2.391535671,6.682666377,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,10082.777796830002,99.44,0.56,90.98,401.17,914.93,0.0,High,High,Universal,9.07,False,92.42031398,3.62
Bahrain,2020,1701.583008,89.50600433,100.0,0.0,0.0,0.0,,,,,,,,,Europe & Central Asia,1612.07700367,94.74,5.26,,0.0,,,Universal,Unknown,Unknown,,False,100.0,0.0
Bangladesh,2020,164689.3906,38.17700195,97.69796025,1.156425878,0.4626557002,0.6829581735,97.88023776,0.8581049804,0.3164802414,0.9451770151,97.40277797,1.639520121,0.6993752147,0.2583266934,South Asia,164651.21359805,99.98,0.02,97.88,3791.22,3490.21,0.99,High,High,High,-0.48,False,97.10160247,0.6
Barbados,2020,287.3710022,31.19099998,98.51445042,0.2676005761,1.217949005,0.0,,,,,,,,,Latin America & Caribbean,256.18000222,89.15,10.85,,4.27,,,High,Unknown,Unknown,,False,98.47444474,0.04
Belarus,2020,9449.321289,79.48300171,96.53472608,3.37211955,0.09315436837,0.0,98.56412231,0.9955971951,0.4402804931,0.0,96.01087362,3.985572644,0.003553731977,0.0,Europe & Central Asia,9369.83828729,99.16,0.84,98.54,327.44,134.54,3.17,High,High,High,-2.55,False,96.47706709,0.06
Belgium,2020,11589.61621,98.07899475,99.99999645,0.0,3.554796791e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,11491.53721525,99.15,0.85,100.0,0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,99.9999977,-0.0
Belize,2020,397.6210022,46.02500153,98.40195463,1.249110629,0.3489347411,0.0,97.99520758,1.358317682,0.6464747393,0.0,98.87896,1.12104,0.0,0.0,Latin America & Caribbean,351.59600067,88.42,11.58,98.1,6.35,7.05,0.52,High,High,High,0.88,False,97.17559498,1.23
