name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Afghanistan,2015,34413.60156,24.8029995,61.33978081,3.511199514,22.16878383,12.98023585,52.98850202,3.861136617,26.55326757,16.59709379,86.65894072,2.450270561,8.876035732,2.014752987,South Asia,34388.7985605,99.93,0.07,53.01,13304.37,16166.69,3.31,Medium,Medium,Medium-High,33.67,True,,
Afghanistan,2020,38928.33984,26.02599907,75.09141325,1.447541688,14.56026288,8.900782174,66.32791521,1.956824851,19.68294895,12.03231098,100.0,0.0,0.0,0.0,South Asia,38902.31384093,99.93,0.07,66.35,9696.5,13099.22,0.0,Medium-High,Medium,Universal,33.67,True,61.33978081,13.75
Albania,2015,2890.523926,57.43399811,93.39432534,3.626383658,2.979291004,0.0,90.62727461,5.263172648,4.109552744,0.0,95.44506696,2.41331182,2.141621216,0.0,Europe & Central Asia,2833.0899278899997,98.01,1.99,90.72,190.94,265.54,2.62,High,High,High,4.82,False,,
Albania,2020,2877.800049,62.11199951,95.06803883,1.884656092,3.047305081,0.0,94.09135806,2.305264955,3.603376986,0.0,95.66380912,1.62808683,2.708104054,0.0,Europe & Central Asia,2815.68804949,97.84,2.16,94.13,141.93,166.37,2.69,High,High,High,1.57,False,93.39432534,1.67
Algeria,2015,39728.01953,70.84799957,93.40956153,5.157780893,1.275464684,0.1571928913,88.35270686,8.685753121,2.580431801,0.3811082155,95.4903147,3.706117317,0.7385100851,0.06505789753,Middle East & North Africa,39657.171530429994,99.82,0.18,88.37,2618.25,4618.99,3.2,High,Medium-High,High,7.14,False,,
Algeria,2020,43851.04297,73.73300171,94.43732996,4.985880842,0.5318366638,0.04495253272,90.03753791,8.79672214,0.9946030281,0.1711369258,96.00473586,3.628288591,0.3669755478,0.0,Middle East & North Africa,43777.30996829,99.83,0.17,90.05,2439.29,4361.3,2.95,High,High,High,5.97,False,93.40956153,1.03
American Samoa,2015,55.80599976,87.23800659,99.61910315,0.0,0.3808968461,0.0,,,,,,,,,East Asia & Pacific,-31.43200683,-56.32,156.32,,0.21,,,Universal,Unknown,Unknown,,False,,
American Samoa,2020,55.1969986,87.15299988,99.77377166,0.0,0.2262283415,0.0,,,,,,,,,East Asia & Pacific,-31.956001279999995,-57.89,157.89,,0.12,,,Universal,Unknown,Unknown,,False,99.61910315,0.15
Andorra,2015,77.99299622,88.34499359,99.99999755,0.0,2.445538357e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,-10.351997370000007,-13.27,113.27,100.0,0.0,-0.0,0.0,Universal,Universal,Universal,0.0,False,,
Andorra,2020,77.26499939,87.91600037,100.0000037,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,-10.651000980000006,-13.79,113.79,100.0,-0.0,-0.0,0.0,Universal,Universal,Universal,0.0,False,99.99999755,0.0
Angola,2015,27884.38086,63.44599533,54.31692835,11.36861866,17.37235635,16.94209664,26.7143694,9.931069288,21.72530762,41.62925369,70.21996512,12.19685349,14.86443147,2.718749921,Sub-Saharan Africa,27820.934864670002,99.77,0.23,26.81,12738.44,20388.75,18.89,Medium,Low,Medium,43.51,True,,
Angola,2020,32866.26953,66.82499695,57.16773762,9.287349919,19.45082534,14.09408712,27.80822661,8.740488389,22.93315258,40.51813242,71.74314862,9.558837489,17.72203473,0.9759791629,Sub-Saharan Africa,32799.444533049995,99.8,0.2,27.9,14077.37,23678.5,18.88,Medium,Low,Medium,43.93,True,54.31692835,2.85
Anguilla,2015,14.27900028,100.0,97.48227425,0.0,2.517725753,0.0,,,,,97.48227425,0.0,2.517725753,0.0,Latin America & Caribbean,-85.72099972,-600.33,700.33,,0.36,,2.52,High,Unknown,High,,False,,
Anguilla,2017,14.5880003,100.0,97.48227425,0.0,2.517725753,0.0,,,,,97.48227425,0.0,2.517725753,0.0,Latin America & Caribbean,-85.4119997,-585.49,685.49,,0.37,,2.52,High,Unknown,High,,False,97.48227425,0.0
