name,income_group,wat_bas_n,urban_rural_gap,pop_without_basic
Tokelau,,99.70767665,,0.003946365295157655
Niue,,97.01087618,,0.04836402433422844
Falkland Islands (Malvinas),,95.3089274,21.827057179999997,0.16339006053442898
Montserrat,,98.07748262,,0.09610664521041264
Saint Pierre and Miquelon,,91.4,,0.49837000653599967
Saint Helena,,99.1,,0.05463900089100035
Saint Barthelemy,,100.0,,0.0
Nauru,High income,100.0,,0.0
Wallis and Futuna Islands,,99.14328736,,0.09634590597886641
Tuvalu,Upper middle income,100.0,0.0,0.0
Cook Islands,,99.97161022,,0.0049863807264033996
Palau,Upper middle income,99.6575455,-0.12278304000000162,0.06195686488668266
British Virgin Islands,High income,99.86438356,,0.041006342298281505
Gibraltar,High income,100.0,,0.0
San Marino,High income,100.0,,0.0
Liechtenstein,High income,100.0,,0.0
Saint Martin (French part),High income,99.99927139,,0.00028167333989841906
Monaco,High income,100.0,,0.0
Faeroe Islands,High income,100.0,,0.0
American Samoa,Upper middle income,99.77377166,,0.12487125366260644
Greenland,High income,100.0000017,0.0,-9.651239882968534e-07
Northern Mariana Islands,High income,100.0,,0.0
Marshall Islands,Upper middle income,88.57204698,-7.5297199999999975,6.764662538085889
Bermuda,High income,99.90314002,,0.06031761419276932
Andorra,High income,100.0000037,0.0,-2.8588049724082147e-06
Isle of Man,High income,99.075,,0.7865459785399976
United States Virgin Islands,High income,98.71826738,,1.3384236089219579
Tonga,Upper middle income,98.73108083,1.1385796500000112,1.3412094773500356
Kiribati,Lower middle income,77.97092085,30.53698996,26.31285368324729
Guam,High income,99.6952,,0.5144505986304003
Saint Lucia,Upper middle income,96.88784457,0.3917983600000099,5.714819826087283
Samoa,Lower middle income,91.83772455,0.32086712999999634,16.194771022349183
Sao Tome and Principe,Lower middle income,78.22645516,5.279928409999997,47.719117626982886
Mayotte,,96.37117971,,9.899893073185705
French Polynesia,High income,100.0,,0.0
New Caledonia,High income,99.30532057,,1.9832472327449373
Barbados,High income,98.51445042,,4.269038716223883
French Guiana,,93.78221635,,18.571400984302294
Vanuatu,Lower middle income,91.23119075,11.102798770000007,26.93339707647765
Iceland,High income,99.99999721,0.0,9.520874987600792e-06
